Timestamp,Program,Indent,UI,Lang,OS,Browser,DE
11/30/2017 19:15:12,D,Tabs,GUI,Scala,Linux,Firefox,IntelliJ
11/30/2017 19:16:17,D,Tabs,Terminal,Scala,macOS,Chrome,Eclipse
11/30/2017 19:19:41,D,Tabs,GUI,Java,Windows 10,Opera,IntelliJ
11/30/2017 19:21:13,D,Spaces,Terminal,Scala,macOS,Chrome,Eclipse
11/30/2017 19:44:18,D,Spaces,Terminal,Python,Linux,Chrome,IntelliJ
11/30/2017 19:48:53,D,Tabs,Terminal,Scala,macOS,Chrome,IntelliJ
11/30/2017 19:50:09,D,Tabs,Terminal,Java,macOS,Chrome,IntelliJ
11/30/2017 19:51:48,C,Tabs,GUI,C#,Linux,Chrome,Visual Studio
11/30/2017 21:10:32,W,Tabs,Terminal,MATLAB,Windows 10,Edge,IntelliJ
11/30/2017 21:48:59,D,Tabs,Terminal,Scala,Linux,Firefox,Emacs
12/1/2017 0:34:26,D,Tabs,GUI,Scala,Windows 10,Chrome,IntelliJ
12/1/2017 0:57:33,D,Spaces,GUI,Ruby,macOS,Safari,Sublime Text
12/1/2017 1:19:40,D,Spaces,GUI,Scala,Linux,Firefox,IntelliJ
12/1/2017 4:42:32,D,Tabs,GUI,Scala,macOS,Chrome,IntelliJ
12/1/2017 6:57:51,D,Spaces,Terminal,C++,Linux,Firefox,Atom
12/1/2017 9:42:13,D,Tabs,GUI,Scala,Linux,Firefox,IntelliJ
12/1/2017 9:58:43,D,Tabs,Terminal,Scala,Linux,Firefox,IntelliJ
12/1/2017 12:05:39,W,Spaces,Terminal,Scala,Windows 8,Chrome,IntelliJ
